time,distance
"5/8/2026, 9:59:20 PM",NaN

time,distance
"5/8/2026, 9:59:20 PM",NaN

time,distance
"5/8/2026, 9:59:20 PM",NaN

time,distance
"5/8/2026, 9:59:20 PM",NaN

time,distance
"5/8/2026, 9:59:21 PM",NaN

time,distance
"5/8/2026, 9:59:21 PM",NaN

time,distance
"5/8/2026, 9:59:21 PM",NaN

time,distance
"5/8/2026, 9:59:21 PM",NaN

time,distance
"5/8/2026, 9:59:21 PM",NaN

time,distance
"5/8/2026, 9:59:21 PM",NaN

time,distance
"5/8/2026, 9:59:21 PM",NaN

time,distance
"5/8/2026, 9:59:21 PM",NaN

time,distance
"5/8/2026, 9:59:22 PM",NaN

time,distance
"5/8/2026, 9:59:22 PM",NaN

time,distance
"5/8/2026, 9:59:22 PM",NaN

time,distance
"5/8/2026, 9:59:22 PM",NaN

time,distance
"5/8/2026, 9:59:22 PM",NaN

time,distance
"5/8/2026, 9:59:22 PM",NaN

time,distance
"5/8/2026, 9:59:23 PM",NaN

time,distance
"5/8/2026, 9:59:23 PM",NaN

time,distance
"5/8/2026, 9:59:23 PM",NaN

time,distance
"5/8/2026, 9:59:23 PM",NaN

time,distance
"5/8/2026, 9:59:23 PM",NaN

time,distance
"5/8/2026, 9:59:23 PM",NaN

time,distance
"5/8/2026, 9:59:24 PM",NaN

time,distance
"5/8/2026, 9:59:24 PM",NaN

time,distance
"5/8/2026, 9:59:24 PM",NaN

time,distance
"5/8/2026, 9:59:24 PM",NaN

time,distance
"5/8/2026, 9:59:24 PM",NaN

time,distance
"5/8/2026, 9:59:24 PM",NaN

time,distance
"5/8/2026, 9:59:25 PM",NaN

time,distance
"5/8/2026, 9:59:25 PM",NaN

time,distance
"5/8/2026, 9:59:25 PM",NaN

time,distance
"5/8/2026, 9:59:25 PM",NaN

time,distance
"5/8/2026, 9:59:25 PM",NaN

time,distance
"5/8/2026, 9:59:25 PM",NaN

time,distance
"5/8/2026, 9:59:25 PM",NaN

time,distance
"5/8/2026, 9:59:25 PM",NaN

